Country/Territory,1970,1980,1990,2000,2010,2015,2020,2022
Cameroon,0.006452787,0.008519891,0.01143052,0.015091594,0.019878036,0.023012646,0.026491087,0.027914536
Niger,0.004669708,0.006173177,0.008370647,0.011622665,0.016647543,0.020128124,0.024333639,0.026207977
Australia,0.012595034,0.014706322,0.017048003,0.019017963,0.022019168,0.023820236,0.025670051,0.026177413
North Korea,0.014996879,0.01797365,0.020799523,0.023367059,0.024686435,0.025258015,0.025867467,0.026069416
Taiwan,0.01495787,0.018100281,0.020586174,0.022194731,0.023083083,0.023512136,0.023821464,0.023893394
Burkina Faso,0.005611666,0.006932967,0.009131361,0.011882888,0.016116845,0.018718019,0.021522626,0.022673762
Mali,0.006153587,0.007372581,0.008945026,0.011239101,0.015529181,0.018112907,0.02122404,0.02259359
Syria,0.006319199,0.008898954,0.012408996,0.016307654,0.022337563,0.019205178,0.020772595,0.022125249
Sri Lanka,0.012388769,0.014943645,0.017204094,0.018776371,0.020668557,0.021336697,0.021715079,0.021832143
Malawi,0.004625141,0.006267369,0.009539665,0.011229387,0.014718422,0.016938942,0.019377061,0.020405317
Zambia,0.004281671,0.005720438,0.007686401,0.009891136,0.013792086,0.01624823,0.018927715,0.020017675
Romania,0.019922618,0.022125224,0.022836234,0.021919876,0.020335211,0.019906079,0.019442038,0.019659267
Chile,0.009820481,0.011469828,0.013342868,0.015351799,0.017004162,0.017870124,0.019300315,0.019603733
Kazakhstan,0.012265305,0.01417271,0.016866563,0.015236253,0.016627837,0.017835909,0.018979243,0.019397998
Ecuador,0.006172215,0.008135845,0.010449837,0.012626507,0.014989585,0.016195902,0.017588595,0.018001
Guatemala,0.005453208,0.006987767,0.00908478,0.011735894,0.014543121,0.016001107,0.017362718,0.017843908
Chad,0.003667394,0.00440823,0.005827069,0.008259137,0.011894727,0.014140274,0.016644701,0.017723315
Somalia,0.003720977,0.005892224,0.006999096,0.008721465,0.012026649,0.013763906,0.016537016,0.017597511
Netherlands,0.013037686,0.014130387,0.014944548,0.015899135,0.016617116,0.017041107,0.017434557,0.017564014
Senegal,0.004367744,0.005703869,0.007536001,0.009704287,0.012530121,0.014356181,0.016436119,0.017316449
Cambodia,0.006708525,0.006198959,0.008910808,0.012118841,0.014363532,0.015417523,0.01639686,0.016767842
Zimbabwe,0.005202918,0.007049926,0.010113893,0.011834676,0.012839771,0.014154937,0.015669666,0.016320537
Guinea,0.004222374,0.004972609,0.006354145,0.008336967,0.010270728,0.011625998,0.013205153,0.013859341
Rwanda,0.003896367,0.005247532,0.007319962,0.008109989,0.010309031,0.011642959,0.013146362,0.013776698
