Guatemala,North America,5453208,6987767,9084780,11735894,14543121,16001107,17362718,17843908
Chad,Africa,3667394,4408230,5827069,8259137,11894727,14140274,16644701,17723315
Somalia,Africa,3720977,5892224,6999096,8721465,12026649,13763906,16537016,17597511
Netherlands,Europe,13037686,14130387,14944548,15899135,16617116,17041107,17434557,17564014
Senegal,Africa,4367744,5703869,7536001,9704287,12530121,14356181,16436119,17316449
Cambodia,Asia,6708525,6198959,8910808,12118841,14363532,15417523,16396860,16767842
Zimbabwe,Africa,5202918,7049926,10113893,11834676,12839771,14154937,15669666,16320537
Guinea,Africa,4222374,4972609,6354145,8336967,10270728,11625998,13205153,13859341
Rwanda,Africa,3896367,5247532,7319962,8109989,10309031,11642959,13146362,13776698
Benin,Africa,3023443,3833939,5133419,6998023,9445710,10932783,12643123,13352864
Burundi,Africa,3497834,4312834,5483793,6307659,9126605,10727148,12220227,12889576
Tunisia,Africa,5047404,6578156,8440023,9893316,10895063,11557779,12161723,12356117
Bolivia,South America,4585693,5736088,7096194,8592656,10223270,11090085,11936162,12224110
Belgium,Europe,9629376,9828986,9959560,10264343,10877947,11248303,11561717,11655930
Haiti,North America,4680812,5646676,6925331,8360225,9842880,10563757,11306801,11584996
Jordan,Asia,1557374,2216903,3480587,5056174,6931258,9494246,10928721,11285869
Dominican Republic,North America,4475871,5755800,7129004,8540791,9775755,10405832,10999664,11228821
Cuba,North America,8869636,9809107,10626680,11105791,11290417,11339894,11300698,11212191
South Sudan,Africa,3342410,4192011,4750817,6114440,9714419,11194299,10606227,10913164
Sweden,Europe,8027702,8311763,8548406,8871043,9381729,9849349,10368969,10549347
Czech Republic,Europe,9795744,10270060,10301192,10234710,10464749,10523798,10530953,10493986
Honduras,North America,2782753,3777990,5053234,6656725,8450933,9294505,10121763,10432860
Greece,Europe,8544873,9307148,10302255,11038109,11033783,10806641,10512232,10384971
Azerbaijan,Asia,5425317,6383060,7427836,8190337,9237202,9863480,10284951,10358074
Portugal,Europe,8683631,9785252,10007346,10300626,10588401,10365435,10298192,10270865
Papua New Guinea,Oceania,2489059,3104788,3864972,5508297,7583269,8682174,9749640,10142619
Hungary,Europe,10315366,10698679,10375989,10202055,9986825,9844246,9750573,9967308
Tajikistan,Asia,2993019,4045965,5417860,6272998,7621779,8524063,9543207,9952787
Belarus,Europe,9170786,9817257,10428525,10256483,9731427,9700609,9633740,9534954
United Arab Emirates,Asia,298084,1014048,1900151,3275333,8481771,8916899,9287289,9441129
Israel,Asia,2907307,3744608,4803254,6116958,7328445,8007778,8757489,9038309
Austria,Europe,7465301,7547561,7678729,8010428,8362829,8642421,8907777,8939617
Togo,Africa,2197383,2838110,3875947,5008035,6571855,7473229,8442580,8848699
Switzerland,Europe,6181227,6319113,6711693,7182059,7822435,8281732,8638613,8740472
Sierra Leone,Africa,2778557,3367477,4325388,4584067,6436698,7314773,8233969,8605718
Laos,Asia,2675283,3297519,4314443,5430853,6323418,6787419,7319399,7529475
Hong Kong,Asia,3955072,4978544,5838574,6731195,7132438,7399838,7500958,7488865
Serbia,Europe,7193533,7777010,7987529,7935022,7653748,7519496,7358005,7221365
Nicaragua,North America,2444767,3303309,4227820,5123222,5855734,6298598,6755895,6948392
Libya,Africa,1909177,2962720,4236983,5154790,6491988,6192235,6653942,6812341
Bulgaria,Europe,8582950,8980606,8767778,8097691,7592273,7309253,6979175,6781953
Paraguay,South America,2408787,3078912,4059195,5123819,5768613,6177950,6618695,6780744
Kyrgyzstan,Asia,3016384,3691209,4394734,4935182,5483774,5914980,6424874,6630623
Turkmenistan,Asia,2201432,2862903,3720278,4569132,5267970,5766431,6250438,6430770
El Salvador,North America,3619090,4508992,5367179,5958482,6114034,6231066,6292731,6336392
Singapore,Asia,2061831,2400729,3022209,4053602,5163590,5650018,5909869,5975689
Republic of the Congo,Africa,1396989,1829256,2385435,3134030,4437884,5064386,5702174,5970424
Denmark,Europe,4922963,5125392,5144623,5340655,5550849,5677796,5825641,5882261
Slovakia,Europe,4522867,4973883,5261305,5376690,5396424,5424444,5456681,5643453
Central African Republic,Africa,2067356,2415276,2809221,3759170,4660067,4819333,5343020,5579144
Finland,Europe,4606621,4779418,4986545,5176209,5363271,5479461,5529468,5540745
Lebanon,Asia,2381791,2963702,3593700,4320642,4995800,6398940,5662923,5489739
Norway,Europe,3875546,4085776,4241636,4491202,4889741,5190356,5379839,5434319
Liberia,Africa,1463563,1932169,2209731,2895224,4019956,4612329,5087584,5302681
Palestine,Asia,1118241,1453620,2124609,3139954,3992278,4484614,5019401,5250072
New Zealand,Oceania,2824061,3147168,3397389,3855266,4346338,4590590,5061133,5185288
Costa Rica,North America,1855697,2414303,3158253,3979193,4622252,4895242,5123105,5180829
Ireland,Europe,2937637,3391387,3485374,3768950,4524585,4665760,4946119,5023109
Mauritania,Africa,1122198,1506694,2006027,2695003,3419461,3946220,4498604,4736139
Oman,Asia,670693,1017462,1804524,2344253,2881914,4191776,4543399,4576298
Panama,North America,1516188,1956987,2449968,3001731,3623617,3957099,4294396,4408581
Kuwait,Asia,802786,1493870,1674938,1934901,2943356,3908743,4360444,4268873
Croatia,Europe,4492638,4680144,4873707,4548434,4368682,4254815,4096868,4030358
Georgia,Asia,4800426,5145843,5391636,4265172,3836831,3771132,3765912,3744385
Eritrea,Africa,1272748,1657982,2149960,2392880,3147727,3340006,3555868,3684032
Uruguay,South America,2790265,2953750,3117012,3292224,3352651,3402818,3429086,3422794
Mongolia,Asia,1293880,1697780,2161433,2450979,2702520,2964749,3294335,3398366
Moldova,Europe,3711140,4103240,4480199,4251573,3678186,3277388,3084847,3272996
Puerto Rico,North America,2737619,3214568,3543776,3827108,3717922,3497335,3271564,3252407
Bosnia and Herzegovina,Europe,3815561,4199820,4494310,4179350,3811088,3524324,3318407,3233526
Albania,Europe,2324731,2941651,3295066,3182021,2913399,2882481,2866849,2842321
Jamaica,North America,1859091,2135546,2392030,2612205,2733896,2794445,2820436,2827377
Armenia,Asia,2534377,3135123,3556539,3168523,2946293,2878595,2805608,2780469
Lithuania,Europe,3210147,3521206,3785847,3599637,3139019,2963765,2820267,2750055
Gambia,Africa,528731,718586,1040616,1437539,1937275,2253133,2573995,2705992
Qatar,Asia,118007,277450,441675,645937,1713504,2414573,2760385,2695122
Botswana,Africa,592244,938578,1341474,1726985,2091664,2305171,2546402,2630296
Namibia,Africa,754467,975994,1369011,1819141,2099271,2282704,2489098,2567012
Gabon,Africa,597192,749078,983028,1272935,1711105,2028517,2292573,2388992
Lesotho,Africa,1023481,1407672,1798997,1998630,2022747,2118521,2254100,2305825
Slovenia,Europe,1741286,1901570,1986024,1984339,2057286,2080862,2117641,2119844
Guinea-Bissau,Africa,591663,831462,973551,1230849,1567220,1788919,2015828,2105566
North Macedonia,Europe,1656783,1907023,2044174,2037936,2093828,2107962,2111072,2093599
Latvia,Europe,2397414,2572037,2689391,2392530,2101530,1991955,1897052,1850651
Equatorial Guinea,Africa,316955,282509,465549,684977,1094524,1346973,1596049,1674908
Trinidad and Tobago,North America,988890,1127852,1266518,1332203,1410296,1460177,1518147,1531044
Bahrain,Asia,222555,362595,517418,711442,1213645,1362142,1477469,1472233
Timor-Leste,Asia,554021,642224,758106,878360,1088486,1205813,1299995,1341296
Estonia,Europe,1361999,1476983,1570674,1396877,1331535,1314657,1329444,1326062
Mauritius,Africa,830115,954865,1090290,1215930,1283330,1293153,1297828,1299469
Cyprus,Europe,640804,679327,788500,948237,1129686,1187280,1237537,1251488
Eswatini,Africa,442865,598564,854011,1030496,1099920,1133936,1180655,1201670
Djibouti,Africa,144379,324121,577173,742033,919199,1006259,1090156,1120849
Reunion,Africa,473925,551674,658992,785424,890130,922495,957822,974052
Fiji,Oceania,527634,644582,780430,832509,905169,917200,920422,929766
